2023-01-06 04:11:20.171 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.183 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.196 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.205 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.213 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.220 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.227 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.234 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.243 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.250 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.257 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.265 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.272 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.279 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.286 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.293 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.300 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.307 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.314 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.321 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.328 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.335 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.342 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.349 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.357 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.364 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.372 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.379 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.385 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.392 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.399 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.406 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.413 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.419 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.426 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.433 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.440 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.446 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.453 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.460 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.467 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.473 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.480 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.487 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.494 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.500 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.508 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.514 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.520 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.525 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.531 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.536 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.542 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.547 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.553 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.559 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.564 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.570 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.575 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.581 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.586 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.591 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.597 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.602 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.607 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.612 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.618 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.623 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.628 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.634 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.639 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.644 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.649 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.655 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.660 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.665 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.670 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.676 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.681 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.686 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.691 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.696 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.701 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.706 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.712 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.717 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.722 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.727 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.732 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.737 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.742 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.747 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.753 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.758 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.763 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.768 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.773 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.778 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.783 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.789 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.794 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.799 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.804 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.809 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:20.814 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:11:22.079 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.556 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.574 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.588 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.596 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.604 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.612 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.621 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.628 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.636 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.645 | INFO     | trt_utils:infer:58 - finished inference
2023-01-06 04:12:36.653 | INFO     | trt_utils:infer:58 - finished inference
